position,video_id,url,title,published_at,duration_seconds
0,PbwnUH09qYM,https://www.youtube.com/watch?v=PbwnUH09qYM,The Differences Between In-House and Agency Marketing with Tory Kindlick,2023-12-02T17:06:24Z,2245
1,aVfMcsakS3o,https://www.youtube.com/watch?v=aVfMcsakS3o,The Re-launch of Tech Qualified,2023-12-05T16:24:58Z,2458
2,4BlcZSeOvPA,https://www.youtube.com/watch?v=4BlcZSeOvPA,Balancing Creativity and Strategy in Small Team Marketing with Rachel Cottam,2023-12-05T16:47:55Z,2279
3,w4w2XKXtlUM,https://www.youtube.com/watch?v=w4w2XKXtlUM,Discussing the Difficulties of Being a Content Marketing Team of One,2024-01-29T11:32:29Z,2025
4,cykvKZ4Xn9g,https://www.youtube.com/watch?v=cykvKZ4Xn9g,"How You Should Build Your Small, Scrappy Marketing Team",2024-02-12T11:38:17Z,2002
5,akrxi0sWDkA,https://www.youtube.com/watch?v=akrxi0sWDkA,How to Design an Event Strategy for a Small Marketing Team,2024-02-27T13:42:12Z,2830
6,spRUarT7ALQ,https://www.youtube.com/watch?v=spRUarT7ALQ,How to Build a Marketing Engine through Content with Joe Michalowski,2024-03-12T12:02:17Z,2866
7,Q-LOZ-_rZN8,https://www.youtube.com/watch?v=Q-LOZ-_rZN8,The Lean Content Machine: Strategies for Scrappy Marketers,2024-04-04T12:27:17Z,2327
8,VbKY-r5wJaI,https://www.youtube.com/watch?v=VbKY-r5wJaI,Beyond the Blog: How Episodic Content Can Give Small Marketing Teams a Strategic Advantage,2024-04-18T11:40:11Z,3043
9,k-ixSg3lwq8,https://www.youtube.com/watch?v=k-ixSg3lwq8,The impact of executives within an organization contributing on social media,2024-05-02T11:50:20Z,2428
10,2MBSpDrRze8,https://www.youtube.com/watch?v=2MBSpDrRze8,How Small B2B Teams Are Leveraging Paid Media,2024-05-16T12:04:56Z,2490
11,uiGmNsqC09s,https://www.youtube.com/watch?v=uiGmNsqC09s,How to Use Asynchronous Recordings in Your Content Program,2024-05-31T11:14:55Z,1617
12,m7JPVn18gO4,https://www.youtube.com/watch?v=m7JPVn18gO4,How to leverage B2B influencer with a small team,2024-06-13T12:03:34Z,2112
13,oncS8RWb3To,https://www.youtube.com/watch?v=oncS8RWb3To,Balancing Marketing Fundamentals with Innovation,2024-06-27T11:29:18Z,2759
14,oGqbff4ocGY,https://www.youtube.com/watch?v=oGqbff4ocGY,Building a Brand from Scratch: Strategies for Small Marketing Teams,2024-07-11T11:39:31Z,2295
15,9kSIFxA4Iu4,https://www.youtube.com/watch?v=9kSIFxA4Iu4,"How to grow a newsletter as a small, scrappy marketing team",2024-07-25T11:56:40Z,2643
16,B7LAXhSVmOc,https://www.youtube.com/watch?v=B7LAXhSVmOc,Simplifying Complex Tech for Marketers,2024-08-08T11:28:44Z,1955
17,64HxR8YLcf0,https://www.youtube.com/watch?v=64HxR8YLcf0,The Importance of a Documented Channel Plan,2024-11-13T12:30:00Z,2024
18,433hYlh7H_8,https://www.youtube.com/watch?v=433hYlh7H_8,How to Build a Founder-led Content Series,2025-07-21T13:37:59Z,1740
19,EJyBx3T5FB4,https://www.youtube.com/watch?v=EJyBx3T5FB4,How Smart Marketers Build Websites That Convert,2025-08-06T21:26:24Z,1504
20,TOz_kDGfCEM,https://www.youtube.com/watch?v=TOz_kDGfCEM,Guide Visitors with Purpose and Build Instant Trust,2025-08-12T12:31:26Z,83
21,aOJCk6dxVM8,https://www.youtube.com/watch?v=aOJCk6dxVM8,Start Your Website with a Goal and a Clear Audience,2025-08-12T12:41:11Z,95
22,ST3H7RGazfs,https://www.youtube.com/watch?v=ST3H7RGazfs,Turn Your Website into a Customer-Focused Marketing Tool,2025-08-12T12:46:49Z,115
23,dfCbwZyDPsY,https://www.youtube.com/watch?v=dfCbwZyDPsY,Knowing When to Adjust Strategy vs. Tactics,2025-08-14T17:09:26Z,812
24,7_e-DSoiu4w,https://www.youtube.com/watch?v=7_e-DSoiu4w,How to Read the Signals and Fix What's Really Holding Back Conversions,2025-08-15T14:27:53Z,65
25,HQbAYogWAgs,https://www.youtube.com/watch?v=HQbAYogWAgs,Fixed vs. Fluid: Structuring Marketing Plans,2025-08-15T14:34:10Z,93
26,mGgt2ZJyAnI,https://www.youtube.com/watch?v=mGgt2ZJyAnI,"When to Rethink Strategy, Not Just Tactics",2025-08-15T14:44:19Z,106
27,RUf2dYbnZQ4,https://www.youtube.com/watch?v=RUf2dYbnZQ4,Why Progress Beats Perfection in Marketing,2025-08-28T20:14:28Z,877
28,_WhkIFMZGmM,https://www.youtube.com/watch?v=_WhkIFMZGmM,How to Spot the Difference Between Planning and Procrastinating,2025-08-28T21:32:02Z,72
29,MqftbmbfbSg,https://www.youtube.com/watch?v=MqftbmbfbSg,Why Testing Beats Assumptions in Campaign Strategy,2025-08-28T21:35:57Z,76
30,QMfYz7qDJI8,https://www.youtube.com/watch?v=QMfYz7qDJI8,From Planning to Launch: The Mindset Shift That Speeds Up Marketing,2025-08-28T21:48:18Z,117
31,smb6-ZCBlPk,https://www.youtube.com/watch?v=smb6-ZCBlPk,How to Create Great Content for B2B Tech,2025-09-11T13:41:36Z,1110
32,NprnEXH6zJE,https://www.youtube.com/watch?v=NprnEXH6zJE,Why Surface-Level Content Fails in B2B,2025-09-11T15:05:12Z,74
33,OrD12gWQuqE,https://www.youtube.com/watch?v=OrD12gWQuqE,The Difference Between Resources and Real Offers,2025-09-26T16:39:20Z,95
34,eTxkLNkWtyI,https://www.youtube.com/watch?v=eTxkLNkWtyI,One Offer Many Messages The Key to ABM Success,2025-09-26T16:43:08Z,123
35,1S0HHsyZqoE,https://www.youtube.com/watch?v=1S0HHsyZqoE,Crafting ABM Messaging That Converts,2025-09-25T12:51:11Z,1468
36,433XFLnZRp8,https://www.youtube.com/watch?v=433XFLnZRp8,Attributes of a Good Landing Page,2025-10-09T14:19:07Z,1428
37,-Jdsay1NLx8,https://www.youtube.com/watch?v=-Jdsay1NLx8,The Most Overlooked Element on B2B Landing Pages,2025-10-09T22:00:18Z,90
38,yYGBZVJAtGc,https://www.youtube.com/watch?v=yYGBZVJAtGc,Why Conversion Rate Is the KPI That Matters Most,2025-10-09T22:02:47Z,128
39,t65QJ8oXUkg,https://www.youtube.com/watch?v=t65QJ8oXUkg,How One Podcast Fuels Your Entire B2B Marketing Strategy,2025-10-23T14:44:45Z,74
40,tDcqog4_rs0,https://www.youtube.com/watch?v=tDcqog4_rs0,The Key to Consistent B2B Content Isn't What You Think,2025-10-23T14:47:08Z,118
41,JFH2zIwXAP0,https://www.youtube.com/watch?v=JFH2zIwXAP0,Measuring the ROI of Content,2025-11-06T15:26:14Z,1592
42,Ff-l9-WiMIw,https://www.youtube.com/watch?v=Ff-l9-WiMIw,Why Every Business Needs Table Stakes Marketing,2025-11-06T17:58:14Z,69
43,8md1rZkEZ5M,https://www.youtube.com/watch?v=8md1rZkEZ5M,How to Justify Marketing Spend Without Expensive Attribution Tools,2025-11-06T18:08:40Z,72
44,b1abSsQkxHM,https://www.youtube.com/watch?v=b1abSsQkxHM,Why Consistent Marketing Builds Trust Even Without Immediate ROI,2025-11-06T18:13:57Z,77
45,g95ha9EQ9Ow,https://www.youtube.com/watch?v=g95ha9EQ9Ow,Content Marketing Takes Time to Pay Off,2025-11-06T18:18:07Z,72
46,_0FMS7BslFg,https://www.youtube.com/watch?v=_0FMS7BslFg,How B2B Marketers Can Measure Success Beyond Lead Generation,2025-11-06T18:22:07Z,131
47,qaVxAWZFTwM,https://www.youtube.com/watch?v=qaVxAWZFTwM,Why Every B2B Team Needs a Documented Marketing Roadmap,2026-01-08T15:03:30Z,1355
48,Q52Wec6dbPY,https://www.youtube.com/watch?v=Q52Wec6dbPY,Why Small Marketing Budgets Fail When Outsourced,2026-01-08T17:44:37Z,64
49,WDHgNty4Zo4,https://www.youtube.com/watch?v=WDHgNty4Zo4,How to Tell if You Actually Have a Marketing Strategy,2026-01-08T17:49:03Z,102
50,E1vw4QfOYyo,https://www.youtube.com/watch?v=E1vw4QfOYyo,Why Marketing Can't Drive Growth if It's Treated as an Afterthought,2026-01-08T17:58:30Z,66
51,5ObjPNWrkw0,https://www.youtube.com/watch?v=5ObjPNWrkw0,"Scrappy vs Enterprise ABM (Tools, Budget & Setup)",2026-01-22T14:31:34Z,1648
52,Ujj-ZaI-4R8,https://www.youtube.com/watch?v=Ujj-ZaI-4R8,How to Start ABM with a Lean Tech Stack and Omnichannel Strategy,2026-01-26T16:47:30Z,138
53,-YW4jb5SYMo,https://www.youtube.com/watch?v=-YW4jb5SYMo,How Much ABM Really Costs for Small Marketing Teams,2026-01-26T16:52:47Z,80
